"","model","estimator","b","k_obs","k_estimate"
"281","fa_oblique","ega",6,4,4
"282","fa_oblique","ega",7,4,4
"283","fa_oblique","ega",8,4,4
"284","fa_oblique","ega",9,4,4
"285","fa_oblique","ega",10,4,4
"286","fa_oblique","ega",11,4,4
"287","fa_oblique","ega",12,4,4
"288","fa_oblique","ega",13,4,4
"289","fa_oblique","ega",14,4,4
"290","fa_oblique","ega",15,4,4
"291","fa_oblique","ega",16,4,4
"292","fa_oblique","ega",17,4,3
"293","fa_oblique","ega",18,4,4
"294","fa_oblique","ega",19,4,4
"295","fa_oblique","ega",20,4,4
"296","fa_oblique","ega",21,4,4
"297","fa_oblique","ega",22,4,4
"298","fa_oblique","ega",23,4,3
"299","fa_oblique","ega",24,4,4
"300","fa_oblique","ega",25,4,NA
"301","fa_oblique","vss",1,2,2
"302","fa_oblique","vss",2,2,2
"303","fa_oblique","vss",3,2,2
"304","fa_oblique","vss",4,2,2
"305","fa_oblique","vss",5,2,2
"306","fa_oblique","vss",6,2,2
"307","fa_oblique","vss",7,2,2
"308","fa_oblique","vss",8,2,1
"309","fa_oblique","vss",9,2,3
"310","fa_oblique","vss",10,2,1
"311","fa_oblique","vss",11,2,1
"312","fa_oblique","vss",12,2,2
"313","fa_oblique","vss",13,2,1
"314","fa_oblique","vss",14,2,3
"315","fa_oblique","vss",15,2,1
"316","fa_oblique","vss",16,2,2
"317","fa_oblique","vss",17,2,1
"318","fa_oblique","vss",18,2,2
"319","fa_oblique","vss",19,2,1
"320","fa_oblique","vss",20,2,1
"321","fa_oblique","vss",21,2,2
"322","fa_oblique","vss",22,2,2
"323","fa_oblique","vss",23,2,2
"324","fa_oblique","vss",24,2,2
"325","fa_oblique","vss",25,2,3
"326","fa_oblique","map",1,4,4
"327","fa_oblique","map",2,4,4
"328","fa_oblique","map",3,4,4
"329","fa_oblique","map",4,4,4
"330","fa_oblique","map",5,4,4
"331","fa_oblique","map",6,4,4
"332","fa_oblique","map",7,4,4
"333","fa_oblique","map",8,4,4
"334","fa_oblique","map",9,4,4
"335","fa_oblique","map",10,4,3
"336","fa_oblique","map",11,4,4
"337","fa_oblique","map",12,4,4
"338","fa_oblique","map",13,4,4
"339","fa_oblique","map",14,4,4
"340","fa_oblique","map",15,4,4
"341","fa_oblique","map",16,4,4
"342","fa_oblique","map",17,4,4
"343","fa_oblique","map",18,4,2
"344","fa_oblique","map",19,4,4
"345","fa_oblique","map",20,4,4
"346","fa_oblique","map",21,4,4
"347","fa_oblique","map",22,4,4
"348","fa_oblique","map",23,4,4
"349","fa_oblique","map",24,4,4
"350","fa_oblique","map",25,4,2
